"Source:","G:\Utbildning\Kurskatalog\4.04. Styr och Reglerteknik\7 Övningar\Laborationer\Goobylåda\Goobylåda PLC\Goobylåda - Kretskort.kicad_sch"
"Date:","2022-08-26 13:30:34"
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","99"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","Q4","IRF9630","Transistor_FET:IRF9383M","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.infineon.com/dgdl/irf9383mpbf.pdf?fileId=5546d462533600a40153561169a11dab"
"","","Q5","IRF9630","Transistor_FET:IRF9383M","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.infineon.com/dgdl/irf9383mpbf.pdf?fileId=5546d462533600a40153561169a11dab"
"","","Q6","IRF9630","Transistor_FET:IRF9383M","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.infineon.com/dgdl/irf9383mpbf.pdf?fileId=5546d462533600a40153561169a11dab"
"","","Q7","2N2222 ","Transistor_BJT:2N2219","Package_TO_SOT_THT:TO-92","http://www.onsemi.com/pub_link/Collateral/2N2219-D.PDF"
"","","Q8","2N2222 ","Transistor_BJT:2N2219","Package_TO_SOT_THT:TO-92","http://www.onsemi.com/pub_link/Collateral/2N2219-D.PDF"
"","","Q9","2N2222 ","Transistor_BJT:2N2219","Package_TO_SOT_THT:TO-92","http://www.onsemi.com/pub_link/Collateral/2N2219-D.PDF"
"","","Q10","MJE2955T","Transistor_BJT:MJ2955","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.onsemi.com/pub_link/Collateral/2N3055-D.PDF"
"","","Q11","MJE2955T","Transistor_BJT:MJ2955","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.onsemi.com/pub_link/Collateral/2N3055-D.PDF"
"","","Q12","MJE2955T","Transistor_BJT:MJ2955","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.onsemi.com/pub_link/Collateral/2N3055-D.PDF"
"","","R1","100","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R2","100","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R3","100","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R4","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R5","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R6","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R7","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R8","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R9","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R10","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R11","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R12","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R13","100","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R14","100","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R15","100","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R16","1k, 1W","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R17","1k, 1W","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R18","1k, 1W","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"","","R19","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R20","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R21","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R22","1k, 250 mW","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R23","1k, 250 mW","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R24","1k, 250 mW","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R25","1k, 250 mW","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R26","1k, 250 mW","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R27","1k, 250 mW","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R28","1k, 250 mW","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R29","1k, 250 mW","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R30","10k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R31","10k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R32","10k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R33","10k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R34","10k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R35","10k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R36","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R37","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R38","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R39","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R40","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","R41","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"","","U1","LM7812_TO220","Regulator_Linear:LM7812_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","A1","Arduino_UNO_R3","MCU_Module:Arduino_UNO_R3","Module:Arduino_UNO_R3","https://www.arduino.cc/en/Main/arduinoBoardUno"
"2","3","C1, C2, C3","33uF","Goobylåda---Kretskort-rescue:CP-Device","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"3","1","C4","0.33uF","Goobylåda---Kretskort-rescue:CP-Device","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"4","1","C5","0.1uF","Goobylåda---Kretskort-rescue:CP-Device","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"5","10","D1, D2, D3, D5, D6, D7, D8, D9, D10, D11","1N5400K","Device:D","Diode_THT:D_DO-15_P10.16mm_Horizontal","~"
"6","1","D4","600V 1A","Device:D","Diode_THT:D_DO-41_SOD81_P7.62mm_Horizontal","~"
"7","10","D12, D13, D14, D15, D16, D17, D18, D19, D20, D21","5.2V","Device:D_Zener","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","~"
"8","1","J1","LCD 1602 kontakt","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~"
"9","16","J2, J3, J4, J6, J7, J8, J9, J10, J11, J12, J13, J14, J15, J16, J17, J18","Anslutning","Connector_Generic:Conn_01x01","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","~"
"10","1","J5","Anslutning","Connector_Generic:Conn_01x02","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"11","6","Q1, Q2, Q3, Q7, Q8, Q9","2N2222 ","Transistor_BJT:2N2219","Package_TO_SOT_THT:TO-92","http://www.onsemi.com/pub_link/Collateral/2N2219-D.PDF"
"12","3","Q4, Q5, Q6","IRF9630","Transistor_FET:IRF9383M","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.infineon.com/dgdl/irf9383mpbf.pdf?fileId=5546d462533600a40153561169a11dab"
"13","3","Q10, Q11, Q12","MJE2955T","Transistor_BJT:MJ2955","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.onsemi.com/pub_link/Collateral/2N3055-D.PDF"
"14","6","R1, R2, R3, R13, R14, R15","100","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"15","18","R4, R5, R6, R7, R8, R9, R10, R11, R12, R19, R20, R21, R36, R37, R38, R39, R40, R41","100k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"16","3","R16, R17, R18","1k, 1W","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"17","8","R22, R23, R24, R25, R26, R27, R28, R29","1k, 250 mW","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"18","6","R30, R31, R32, R33, R34, R35","10k","Device:R","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal","~"
"19","1","U1","LM7812_TO220","Regulator_Linear:LM7812_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF"
